"site","doy_peak_pos","doy_peak_neg","peak_pos_value","peak_neg_value","integrated_pos","integrated_neg","ratio_pos_neg","n_sig_pos_days","n_sig_neg_days","centroid_pos","centroid_neg","pos_window_start","pos_window_end","pos_window_width","neg_window_start","neg_window_end","neg_window_width","n_sig_fpcs","r2_full","r2_reduced","S_estimate","S_t","S_p","S_retained","cluster"
"Beaverhead.FishAndGame",109,82,0.0103941440952552,-0.00515749224576408,0.830775557753893,-0.339346523603573,2.44816286588635,6,0,109.5,NA,107,112,6,NA,NA,0,2,0.591105018515716,0.447694530877139,0,0,1,FALSE,"1"
"Beaverhead.Hildreth",258,131,0.0101292569121082,-0.0169552611057561,0.64167778936149,-0.95456874089844,0.672217475671309,0,21,NA,132,NA,NA,0,122,142,21,1,0.368184417285097,0.289493571017595,-0.28694384214499,-2.97354432929812,0.00522611029954647,TRUE,"2"
"BigHole.HogBack",81,115,0.00413581163380745,-0.00787773473739278,0.307312185872878,-0.401797930478651,0.764842629992607,0,0,NA,NA,NA,NA,0,NA,NA,0,2,0.682248859079054,0.661952909342689,-0.448999798706495,-2.67225500972197,0.0166931628457412,TRUE,"3"
"BigHole.Melrose",171,238,0.0130691044789238,-0.00634782712947054,0.749255403187932,-0.425541382918487,1.76071102192064,25,0,170,NA,158,182,25,NA,NA,0,2,0.428745219498537,0.351251755968173,-0.00811486570054266,-0.0549049957010433,0.956733161150648,FALSE,"4"
"Bighorn.MallardsLanding",174,1,0.000872663803620706,0.000242197214633861,0.172381810487391,0,Inf,0,0,NA,NA,NA,NA,0,NA,NA,0,1,0.530108621812004,0.511969233101515,-0.768545947762388,-4.92736118157808,3.38270710500041e-05,TRUE,"1"
"Bitterroot.BellCrossing",107,281,0.00545349417876791,-0.00876579052890543,0.419689416403493,-0.469037967385254,0.894787726339374,0,15,NA,282,NA,NA,0,275,289,15,3,0.577333445392818,0.539054589279384,-0.308031993201084,-3.91863369667055,0.000735343246666483,TRUE,"1"
"Bitterroot.Darby",42,94,0.00208091100140134,-0.00172031339167902,0.156700867162116,-0.104702013109265,1.49663662148106,0,0,NA,NA,NA,NA,0,NA,NA,0,1,0.767073461363445,0.693245756149178,-0.407379539464098,-7.85507515202955,1.15771510687297e-08,TRUE,"1"
"Blackfoot.Johnsrud",88,62,0.00646470412913553,-0.0107703232959723,0.502790103619445,-0.865388663842862,0.580999179474741,0,0,NA,NA,NA,NA,0,NA,NA,0,7,0.607717323926649,0.607049303601678,-0.312838618902949,-3.65045333152387,0.00133428881080551,TRUE,"2"
"Blackfoot.ScottyBrown",188,96,0.00060893118147085,-0.00138503018487543,0.0500351946776894,-0.109661173703751,0.456270829389981,0,0,NA,NA,NA,NA,0,NA,NA,0,1,0.587461309166246,0.487860034811316,-0.300447036617059,-4.40223555101101,0.000206576162245273,TRUE,"1"
"Boulder.B2",131,192,0.00375472725523311,-0.00304877786586662,0.42158162514901,-0.103623733142799,4.0683887017277,0,0,NA,NA,NA,NA,0,NA,NA,0,1,0.411756216517102,0.28121926468365,-0.373596991861508,-2.46312469857515,0.0199494286657787,TRUE,"1"
"Jefferson.Waterloo",187,132,0.00968854083556074,-0.00943913551786729,1.12013587221404,-0.43361493525243,2.58325020922527,0,0,NA,NA,NA,NA,0,NA,NA,0,3,0.580696443634135,0.524613182865533,-0.195717953933229,-1.0732394931745,0.300126715818537,FALSE,"2"
"Madison.Norris",356,173,0.00884397842539557,-0.00598154728375089,0.645540118840128,-0.3381799135735,1.90886594067281,0,0,NA,NA,NA,NA,0,NA,NA,0,4,0.448787984772975,0.366393819011017,-0.0448106885679496,-0.406442596406512,0.687041343816197,FALSE,"1"
"Madison.PineButte",153,256,0.00104916896281641,-0.00201339058916834,0.110425718527458,-0.103060807424199,1.07146180286503,0,0,NA,NA,NA,NA,0,NA,NA,0,1,0.506940044387335,0.451299977525401,-0.219363936084855,-3.71193527325871,0.000756044386153863,TRUE,"1"
"Missouri.Cascade",188,218,0.00949526143727378,-0.00536065092716709,0.262894156725477,-0.606410185876581,0.433525298301936,15,0,188,NA,181,195,15,NA,NA,0,2,0.585915945824169,0.523123854726864,-0.30693348144635,-4.08440487770565,0.000334965889756613,TRUE,"1"
"Missouri.Craig",11,144,0.00956728010719128,-0.0120108575568762,1.00263646939025,-0.455288873283615,2.20219849028833,44,33,22.5,141,1,44,44,125,157,33,1,0.662095538071773,0.642654889188172,-0.270478941162637,-3.08886826517438,0.0040584732089226,TRUE,"2"
"RockCreek.FishAndGame",365,93,0.00773860247887798,-0.0108260471432533,0.218454508975211,-0.915303628327489,0.238668898728597,0,13,NA,93,NA,NA,0,87,99,13,2,0.809275816681662,0.560720734522111,-0.0649436939227469,-0.514640552541263,0.619203303024797,FALSE,"3"
"RockCreek.HogBack",365,121,0.00226698821514223,-0.00533445671258207,0.01846310012756,-0.465277104599997,0.0396819442543447,0,0,NA,NA,NA,NA,0,NA,NA,0,1,0.84451571154715,0.73687338452448,-0.461468385807571,-2.57300665539024,0.0329729981294567,TRUE,"3"
"Ruby.SilverSprings",1,128,0.00866127292369549,-0.0100831473846248,0.896549901506438,-0.272133473930279,3.29452267873571,0,6,NA,127.5,NA,NA,0,125,130,6,3,0.411946913554493,0.339997735787697,-0.107850446216978,-0.47696688899853,0.637886445495392,FALSE,"4"
"Ruby.Vigilante",166,114,0.00145853537742931,-0.00320801451618033,0.146504648011464,-0.295011621376233,0.496606361905399,0,0,NA,NA,NA,NA,0,NA,NA,0,1,0.263014873286926,0.0833177423975932,-0.213037025703946,-0.893150667349687,0.38588196677929,FALSE,"3"
"Shields.ConvictGrade",178,108,0.0065427741304174,-0.00778042256263126,0.309034365312082,-0.654207163071411,0.47237997801982,0,28,NA,107.5,NA,NA,0,94,121,28,2,0.40969273998339,0.267669457993443,-0.205295020551278,-1.55322194141122,0.130205580132133,FALSE,"3"
"Shields.Zimmerman",246,81,0.00330217324231512,-0.0106815097439642,0.289053412848545,-0.979574341167441,0.295080629106777,0,50,NA,64.5,NA,NA,0,40,89,50,4,0.638528522284058,0.609008539689493,-0.0723924528092371,-0.908872336101335,0.370212234278753,FALSE,"3"
"Smith.EagleCreek",238,173,0.0167785511886548,-0.0155075451084933,1.34620246459649,-1.09546539995646,1.22888633876523,0,0,NA,NA,NA,NA,0,NA,NA,0,2,0.424860123180483,0.338743028942132,-0.115950381716378,-0.688185445056007,0.500109656442553,FALSE,"5"
"Yellowstone.CorwinSprings",23,151,0.00402615018390075,-0.00667052699775295,0.416414023897582,-0.456966600150174,0.911257023512736,0,0,NA,NA,NA,NA,0,NA,NA,0,4,0.547250263298725,0.528978670864785,-0.212958418496835,-3.2382041180281,0.00274151935740911,TRUE,"1"
"Yellowstone.MillCreek",61,146,0.00157105042475841,-0.00485412319134222,0.255902241537267,-0.208381976418215,1.22804402729956,0,14,NA,146.5,NA,NA,0,140,153,14,1,0.33135459272815,0.23563235103005,-0.230186052739933,-2.32034780498369,0.0266495843476796,TRUE,"1"
