"site","n_years","n_sig_fpcs","r2_full","included","reason"
"Beaverhead.FishAndGame",21,2,0.591105018515716,TRUE,""
"Beaverhead.Hildreth",43,1,0.368184417285097,TRUE,""
"BigHole.HogBack",26,2,0.682248859079054,TRUE,""
"BigHole.Melrose",32,2,0.428745219498537,TRUE,""
"Bighorn.Bighorn",28,1,0.195391858948748,FALSE,"r2_full < 0.20"
"Bighorn.MallardsLanding",35,1,0.530108621812004,TRUE,""
"Bitterroot.BellCrossing",34,3,0.577333445392818,TRUE,""
"Bitterroot.Darby",41,1,0.767073461363445,TRUE,""
"Blackfoot.Johnsrud",34,7,0.607717323926649,TRUE,""
"Blackfoot.ScottyBrown",34,1,0.587461309166246,TRUE,""
"Boulder.B2",41,1,0.411756216517102,TRUE,""
"Jefferson.Waterloo",24,3,0.580696443634135,TRUE,""
"Madison.Norris",43,4,0.448787984772975,TRUE,""
"Madison.PineButte",43,1,0.506940044387335,TRUE,""
"Madison.Varney",12,3,0.950477145912038,FALSE,"n_years < 15"
"Missouri.Cascade",35,2,0.585915945824169,TRUE,""
"Missouri.Craig",40,1,0.662095538071773,TRUE,""
"RockCreek.FishAndGame",19,2,0.809275816681662,TRUE,""
"RockCreek.HogBack",17,1,0.84451571154715,TRUE,""
"Ruby.SilverSprings",34,3,0.411946913554493,TRUE,""
"Ruby.Vigilante",25,1,0.263014873286926,TRUE,""
"Shields.ConvictGrade",42,2,0.40969273998339,TRUE,""
"Shields.Zimmerman",42,4,0.638528522284058,TRUE,""
"Smith.EagleCreek",27,2,0.424860123180483,TRUE,""
"Yellowstone.CorwinSprings",42,4,0.547250263298725,TRUE,""
"Yellowstone.MillCreek",42,1,0.33135459272815,TRUE,""
